outer,radius,TMR,FMR
67.5,55.00000000000001,0.931304347826087,0.0
67.5,60.0,0.9343478260869565,0.0
67.5,65.0,0.9369565217391305,0.0
67.5,70.0,0.9408695652173913,0.0
67.5,75.0,0.9439130434782609,0.0
67.5,80.0,0.9460869565217391,0.0
67.5,85.0,0.9465217391304348,0.0
67.5,90.0,0.9460869565217391,0.0
67.5,95.0,0.9430434782608695,0.0
67.5,100.0,0.9391304347826087,0.0
70.0,55.00000000000001,0.9391304347826087,0.0
70.0,60.0,0.9404347826086956,0.0
70.0,65.0,0.9447826086956522,0.0
70.0,70.0,0.95,0.0
70.0,75.0,0.9539130434782609,0.0
70.0,80.0,0.9552173913043478,0.0
70.0,85.0,0.9556521739130435,0.0
70.0,90.0,0.9560869565217391,0.0
70.0,95.0,0.9539130434782609,0.0
70.0,100.0,0.951304347826087,0.0
72.5,55.00000000000001,0.9443478260869566,0.0
72.5,60.0,0.9539130434782609,0.0
72.5,65.0,0.9586956521739131,0.0
72.5,70.0,0.9626086956521739,0.0
72.5,75.0,0.9621739130434782,0.0
72.5,80.0,0.9630434782608696,0.0
72.5,85.0,0.9630434782608696,0.0
72.5,90.0,0.9630434782608696,0.0
72.5,95.0,0.9621739130434782,0.0
72.5,100.0,0.9626086956521739,0.0
75.0,55.00000000000001,0.9552173913043478,0.0
75.0,60.0,0.9604347826086956,0.0
75.0,65.0,0.9634782608695652,0.0
75.0,70.0,0.9656521739130435,0.0
75.0,75.0,0.9682608695652174,0.0
75.0,80.0,0.9695652173913043,0.0
75.0,85.0,0.971304347826087,0.0
75.0,90.0,0.971304347826087,0.0
75.0,95.0,0.971304347826087,0.0
75.0,100.0,0.9708695652173913,0.0
