outer,radius,TMR,FMR
0.4,0.8,0.3934673366834171,0.0
0.4,0.85,0.39045226130653266,0.0
0.4,0.9,0.3811557788944724,0.0
0.4,0.95,0.36105527638190954,0.0
0.4,1.0,0.3364321608040201,0.0
0.425,0.8,0.48592964824120605,0.0002512562814070352
0.425,0.85,0.4809045226130653,0.0002512562814070352
0.425,0.9,0.4678391959798995,0.0
0.425,0.95,0.4562814070351759,0.0
0.425,1.0,0.4407035175879397,0.0
0.45,0.8,0.5733668341708543,0.0005025125628140704
0.45,0.85,0.5748743718592965,0.0005025125628140704
0.45,0.9,0.571356783919598,0.0002512562814070352
0.45,0.95,0.564321608040201,0.0
0.45,1.0,0.5489949748743719,0.0
0.475,0.8,0.6527638190954774,0.002512562814070352
0.475,0.85,0.6582914572864321,0.002763819095477387
0.475,0.9,0.6592964824120603,0.0022613065326633165
0.475,0.95,0.6580402010050251,0.001507537688442211
0.475,1.0,0.6489949748743719,0.0020100502512562816
0.5,0.8,0.7218592964824121,0.004522613065326633
0.5,0.85,0.728894472361809,0.005778894472361809
0.5,0.9,0.7349246231155779,0.005025125628140704
0.5,0.95,0.7369346733668342,0.004522613065326633
0.5,1.0,0.7324120603015075,0.005527638190954774
0.525,0.8,0.7766331658291458,0.009045226130653266
0.525,0.85,0.7881909547738694,0.0092964824120603
0.525,0.9,0.7944723618090452,0.009045226130653266
0.525,0.95,0.799497487437186,0.0092964824120603
0.525,1.0,0.800502512562814,0.009798994974874372
0.55,0.8,0.8233668341708543,0.011306532663316583
0.55,0.85,0.8319095477386935,0.012814070351758794
0.55,0.9,0.8369346733668341,0.01407035175879397
0.55,0.95,0.8454773869346733,0.013819095477386936
0.55,1.0,0.8492462311557789,0.012814070351758794
0.575,0.8,0.8550251256281407,0.015829145728643215
0.575,0.85,0.8655778894472361,0.016834170854271358
0.575,0.9,0.8733668341708543,0.016834170854271358
0.575,0.95,0.8801507537688442,0.018844221105527637
0.575,1.0,0.8854271356783919,0.019095477386934675
0.6,0.8,0.8809045226130653,0.022613065326633167
0.6,0.85,0.8896984924623116,0.024874371859296484
0.6,0.9,0.9012562814070352,0.024874371859296484
0.6,0.95,0.9082914572864321,0.026633165829145728
0.6,1.0,0.9128140703517588,0.027386934673366833
