outer,radius,TMR,FMR
0.4,0.8,0.6186956521739131,0.0
0.4,0.85,0.5565217391304348,0.0
0.4,0.9,0.49391304347826087,0.0
0.4,0.95,0.42434782608695654,0.0
0.4,1.0,0.3417391304347826,0.0
0.425,0.8,0.7513043478260869,0.0
0.425,0.85,0.7169565217391304,0.0008695652173913044
0.425,0.9,0.6691304347826087,0.0
0.425,0.95,0.5995652173913043,0.0
0.425,1.0,0.5278260869565218,0.0
0.45,0.8,0.8452173913043478,0.003043478260869565
0.45,0.85,0.827391304347826,0.002173913043478261
0.45,0.9,0.7943478260869565,0.002173913043478261
0.45,0.95,0.7582608695652174,0.0008695652173913044
0.45,1.0,0.711304347826087,0.0
0.475,0.8,0.9026086956521739,0.004347826086956522
0.475,0.85,0.8926086956521739,0.004347826086956522
0.475,0.9,0.8808695652173913,0.004347826086956522
0.475,0.95,0.8582608695652174,0.0026086956521739132
0.475,1.0,0.828695652173913,0.003043478260869565
0.5,0.8,0.9304347826086956,0.004782608695652174
0.5,0.85,0.9260869565217391,0.004782608695652174
0.5,0.9,0.9230434782608695,0.004347826086956522
0.5,0.95,0.9143478260869565,0.004347826086956522
0.5,1.0,0.9008695652173913,0.004347826086956522
0.525,0.8,0.948695652173913,0.00608695652173913
0.525,0.85,0.9469565217391305,0.005652173913043478
0.525,0.9,0.9421739130434783,0.0052173913043478265
0.525,0.95,0.938695652173913,0.0052173913043478265
0.525,1.0,0.9326086956521739,0.0052173913043478265
0.55,0.8,0.9630434782608696,0.009130434782608696
0.55,0.85,0.9630434782608696,0.009130434782608696
0.55,0.9,0.9604347826086956,0.00826086956521739
0.55,0.95,0.9569565217391305,0.00826086956521739
0.55,1.0,0.9517391304347826,0.007391304347826087
0.575,0.8,0.9704347826086956,0.013043478260869565
0.575,0.85,0.9695652173913043,0.013478260869565217
0.575,0.9,0.9704347826086956,0.01391304347826087
0.575,0.95,0.9691304347826087,0.012608695652173913
0.575,1.0,0.9656521739130435,0.011739130434782608
0.6,0.8,0.9773913043478261,0.018695652173913044
0.6,0.85,0.9765217391304348,0.017826086956521738
0.6,0.9,0.9765217391304348,0.02
0.6,0.95,0.9760869565217392,0.017826086956521738
0.6,1.0,0.9756521739130435,0.018695652173913044
