outer,radius,TMR,FMR
0.425,0.55,0.9032663316582915,0.0007537688442211055
0.425,0.6,0.9105527638190954,0.0005025125628140704
0.425,0.65,0.9163316582914572,0.0002512562814070352
0.425,0.7,0.9193467336683417,0.0002512562814070352
0.425,0.75,0.9231155778894472,0.0002512562814070352
0.425,0.8,0.9276381909547738,0.0002512562814070352
0.425,0.85,0.9278894472361809,0.0002512562814070352
0.425,0.9,0.9266331658291457,0.0005025125628140704
0.425,0.95,0.9241206030150754,0.0005025125628140704
0.425,1.0,0.9188442211055277,0.0002512562814070352
0.45,0.55,0.9243718592964824,0.001256281407035176
0.45,0.6,0.9311557788944723,0.0017587939698492463
0.45,0.65,0.935427135678392,0.001507537688442211
0.45,0.7,0.9399497487437186,0.0017587939698492463
0.45,0.75,0.9447236180904522,0.0017587939698492463
0.45,0.8,0.9484924623115578,0.0017587939698492463
0.45,0.85,0.9472361809045227,0.0017587939698492463
0.45,0.9,0.9464824120603015,0.001256281407035176
0.45,0.95,0.9462311557788945,0.0010050251256281408
0.45,1.0,0.9454773869346733,0.0007537688442211055
0.475,0.55,0.9396984924623115,0.0032663316582914573
0.475,0.6,0.9457286432160804,0.0032663316582914573
0.475,0.65,0.9520100502512563,0.002763819095477387
0.475,0.7,0.9582914572864322,0.003015075376884422
0.475,0.75,0.9605527638190955,0.0035175879396984926
0.475,0.8,0.9615577889447237,0.004271356783919598
0.475,0.85,0.9628140703517588,0.004773869346733669
0.475,0.9,0.9628140703517588,0.004271356783919598
0.475,0.95,0.9628140703517588,0.0035175879396984926
0.475,1.0,0.9610552763819096,0.003015075376884422
