outer,radius,TMR,FMR
0.425,0.6,0.9266510812390415,0.00017533606078316773
0.425,0.65,0.9228521332554062,0.0001168907071887785
0.425,0.7,0.9154880187025132,5.844535359438925e-05
0.425,0.75,0.9007597895967271,0.0
0.425,0.8,0.8743424897720631,5.844535359438925e-05
0.425,0.85,0.8306838106370543,0.0
0.425,0.9,0.7589713617767387,0.0
0.425,0.95,0.6433080070134425,0.0
0.425,1.0,0.45125657510227934,0.0
0.5,0.6,0.9711279953243717,0.009000584453535944
0.5,0.65,0.972530683810637,0.009468147282291058
0.5,0.7,0.9736411455289304,0.009059029807130333
0.5,0.75,0.9739333722969024,0.007130333138515488
0.5,0.8,0.9718877849210987,0.006545879602571595
0.5,0.85,0.9689655172413794,0.005376972530683811
0.5,0.9,0.9631794272355347,0.00391583869082408
0.5,0.95,0.9545879602571595,0.0024547048509643483
0.5,1.0,0.940677966101695,0.0015195791934541204
