outer,radius,TMR,FMR
67.5,55.00000000000001,0.8952173913043479,0.0
67.5,60.0,0.9043478260869565,0.0
67.5,65.0,0.9113043478260869,0.0
67.5,70.0,0.9173913043478261,0.0
67.5,75.0,0.921304347826087,0.0
67.5,80.0,0.9252173913043479,0.0
67.5,85.0,0.9273913043478261,0.0
67.5,90.0,0.9295652173913044,0.0
67.5,95.0,0.9282608695652174,0.0
67.5,100.0,0.9282608695652174,0.0
70.0,55.00000000000001,0.91,0.0
70.0,60.0,0.918695652173913,0.0
70.0,65.0,0.9234782608695652,0.0
70.0,70.0,0.9278260869565217,0.0
70.0,75.0,0.9308695652173913,0.0
70.0,80.0,0.931304347826087,0.0
70.0,85.0,0.9339130434782609,0.0
70.0,90.0,0.9352173913043478,0.0
70.0,95.0,0.9369565217391305,0.0
70.0,100.0,0.9391304347826087,0.0
72.5,55.00000000000001,0.9239130434782609,0.0
72.5,60.0,0.93,0.0
72.5,65.0,0.9330434782608695,0.0
72.5,70.0,0.9356521739130435,0.0
72.5,75.0,0.9369565217391305,0.0
72.5,80.0,0.9404347826086956,0.0
72.5,85.0,0.9447826086956522,0.0
72.5,90.0,0.9469565217391305,0.0
72.5,95.0,0.9491304347826087,0.0
72.5,100.0,0.95,0.0
75.0,55.00000000000001,0.9321739130434783,0.0
75.0,60.0,0.9352173913043478,0.0
75.0,65.0,0.9382608695652174,0.0
75.0,70.0,0.9408695652173913,0.0
75.0,75.0,0.9452173913043478,0.0
75.0,80.0,0.9491304347826087,0.0
75.0,85.0,0.951304347826087,0.0
75.0,90.0,0.9552173913043478,0.0
75.0,95.0,0.9578260869565217,0.0
75.0,100.0,0.9578260869565217,0.0
